ID,Comment Text,Translated
11,인생이 불쌍하다,"Đời tôi thật đáng thương.
"
12,김수현 쓰래기 입니다<br>새롬양생각하면 마음이 너무아프네요,"Kim Soo Hyun là đồ rác rưởi. Nghĩ đến Sae Rom mà đau lòng quá.
"
13,이진호도 정말 쓰래기입니다<br>이진호저놈 무기징역보내야합니다,"Lee Jin-ho cũng đúng là đồ rác rưởi.
Phải tống cổ cái thằng Lee Jin-ho đó vào tù chung thân.
"
14,김수현 연예계에서 버림받도록해야합니다,"Phải làm cho Kim Soo Hyun bị giới giải trí ruồng bỏ.
"
15,이마에 탄핵반대 ㅋ,"Trên trán viết phản đối luận tội kìa ㅋㅋ
"
16,안타깝네요 ㅠㅠ 사실은 그들만 알듯  너무 신나지 않으셨으면 ㅠㅠ,"Thật đáng tiếc ㅠㅠ Sự thật thì chỉ có họ mới biết thôi. Mong là họ đừng vui mừng quá ㅠㅠ
"
17,어떤부모가 죽은 딸을 가쉽거리로 만들까? 살아있는 사람까지 죽음으류 내모려는자는 양심이없는사람이다.  그만하세요,"Loại cha mẹ nào lại biến con gái đã chết thành chủ đề bàn tán vậy? Loại người đẩy cả người sống vào chỗ chết là loại người không có lương tâm. Xin hãy dừng lại đi.
"
18,중2 면 내 아들하고 동갑이다 <br>야 못된놈이고 천벌받아야하네<br>중국 디즈니 다 손절해야함,"Thằng đó mà là học sinh cấp 2 thì bằng tuổi con trai tôi rồi.
Đúng là thằng khốn, đáng bị trời phạt.
Phải từ bỏ hết Disney Trung Quốc thôi.
"
19,Kami mendukungmu sepnuhnya,"Chúng tôi hoàn toàn ủng hộ bạn.
"
20,"Leo los conentarios y estoy en shock, como es posible que la mayoria se suba al tren del abuso mediático, ni siquiera buscan la verdad desde un punto neutral ni razonan por si mismos. Que locura de sociedad! Esta es la verdadera razon por la que sus artistas desaparecen tan jovenes, por el bully mediático que debe estar penalizado y prohibido a nivel internacional. Creo que el próximo esta cerca por sus comentarios, piensenlo ⚠️ 🚩","Tôi đọc các bình luận và bị sốc, làm sao có thể phần lớn mọi người lại nhảy lên chuyến tàu lạm dụng truyền thông như vậy, họ thậm chí không tìm kiếm sự thật từ một quan điểm trung lập hay tự mình suy luận. Thật là một xã hội điên rồ! Đây là lý do thực sự tại sao các nghệ sĩ của họ biến mất khi còn trẻ, vì sự bắt nạt trên các phương tiện truyền thông, điều này đáng lẽ phải bị xử phạt và cấm ở cấp quốc tế. Tôi nghĩ người tiếp theo đang đến gần vì những bình luận của các bạn, hãy suy nghĩ về điều đó ⚠️ 🚩
"
21,그런데  김수현이랑<br>헤어지고 다른 남자랑<br>외국에서 결혼하고<br>생활했다는데..<br>그러면 과거 김수현이랑<br>만남은 끝이난거고<br>자기 신랑이랑 상의를<br>해야되는거 아닌가?<br>김수현이 돈이 많다지만<br>성인이된 김새론이 음주<br>운전사고낸걸<br>과거 연인이 도와줄<br>의무가있나?<br>그리고 과거 <br>미성년자와 사귀었나 안사귀었나가 요점은<br>아닌거같은데? <br>그냥 과거일을 끄집어내어 또다른<br>이슈를 만들려고하는듯.,"Nhưng mà nghe nói Kim Soo Hyun với Kim Sae Ron chia tay rồi, cô ấy kết hôn với người khác ở nước ngoài và sống ở đó mà... Vậy thì mối quan hệ với Kim Soo Hyun trong quá khứ đã kết thúc rồi, cô ấy phải bàn bạc với chồng mình chứ? Dù Kim Soo Hyun có nhiều tiền đi chăng nữa thì Kim Sae Ron đã là người trưởng thành, gây ra tai nạn lái xe khi say rượu, người yêu cũ có nghĩa vụ phải giúp đỡ sao? Và chuyện quá khứ có yêu đương với người vị thành niên hay không có vẻ không phải là trọng tâm? Có vẻ như họ đang khơi lại chuyện quá khứ để tạo ra một vấn đề khác thôi.
"
22,감정적인 선동으로 김수현 쓰레기 만들고 뭐 하나 결론이 없네요 저게 미성년때 사귄거하고 무슨 상관인가요?,"Chỉ toàn kích động cảm xúc để biến Kim Soo Hyun thành rác rưởi, chẳng có kết luận gì cả. Việc đó thì liên quan gì đến chuyện hẹn hò khi còn vị thành niên?
"
23,돈버는 방법도 가지가지입니다요  정신차리세요,"Cách kiếm tiền thì muôn hình vạn trạng. Tỉnh táo lại đi.
"
24,대한민국의 모든 엄마들은 김새론 엄마를 지켜내야 합니다. 이 문제는 매우 심각합니다. 한국의 문화가 이 문제를 해결할 만큼 강하지 않다면 앞으로는 김수현이 더 많아질 것이다. 어머니의 영향력은 매우 강합니다. 잔혹한 소아성애자들의 손에 죽은 아름다운 딸을 위해 정의를 위해 싸우는 김새론의 활약을 대한민국 모든 어머니들이 응원해 주시기 바랍니다,"Tất cả các bà mẹ ở Hàn Quốc phải bảo vệ mẹ của Kim Sae Ron. Vấn đề này rất nghiêm trọng. Nếu văn hóa Hàn Quốc không đủ mạnh để giải quyết vấn đề này, sẽ có nhiều Kim Soo Hyun hơn trong tương lai. Ảnh hưởng của người mẹ là vô cùng lớn. Mong tất cả các bà mẹ Hàn Quốc hãy ủng hộ vai trò của Kim Sae Ron trong việc đấu tranh cho công lý cho người con gái xinh đẹp đã chết dưới bàn tay của những kẻ ấu dâm tàn ác.
"
25,"죽음을 두려워하지 마세요, 어머니. 내가 당신이라면 나는 더 이상 생명을 얻지 못하고 죽을 때까지 싸울 것입니다. 평화를 원하지 마십시오. 그들은 김새론 모녀에게 매우 잔인했고, 무자비하고 가엾게도 김새론을 만나지도 않았고, 휴대전화도 받지 않았고, 김새론에게 빚에 대해 기회를 주고 싶지 않았다는 것을 기억하라. 김새론 어머님, 두려워하지 말고 마지막 피 한 방울까지 싸워서 죽을 때까지 전진하여 사랑하는 어머님의 딸에게 악을 행하는 자들이 저지른 잔혹함을 느낄 수 있도록 모든 것을 다 내놓으십시오.","Đừng sợ cái chết, thưa mẹ. Nếu con là mẹ, con sẽ không màng đến sống chết mà chiến đấu đến cùng. Đừng mong cầu sự bình yên. Hãy nhớ rằng họ đã vô cùng tàn nhẫn với mẹ con Kim Sae Ron, tàn nhẫn và đáng thương đến mức chưa từng gặp Kim Sae Ron, không nhận điện thoại, và không muốn cho Kim Sae Ron cơ hội trả nợ. Thưa mẹ Kim Sae Ron, đừng sợ hãi, hãy chiến đấu đến giọt máu cuối cùng, tiến lên cho đến khi chết để những kẻ gây ác cho con gái yêu quý của mẹ phải cảm nhận được sự tàn khốc mà chúng đã gây ra. Hãy dốc hết sức mình.
"
26,벌어도 넘 벌고 별루인데 너무 크더라 인물은 정우성이지 ....솔직 시인하고 인정하는 센스 김수현 비겁한 족ㅋ썩,"Kiếm thì kiếm được nhiều thật nhưng mà không có gì đặc biệt mà lại còn quá to nữa. Về mặt ngoại hình thì phải là Jung Woo Sung... Thành thật mà nói, phải có chút tinh tế để thừa nhận và công nhận điều đó chứ. Kim Soo Hyun đúng là đồ hèn nhát."
27,나는이제 김수현광고제품 하나도 안쓸거다 완죤 파렴치하다 ..... 소비자 시청자 모두 우롱하고 교만하다 교활하고,"Từ giờ tôi sẽ không dùng bất kỳ sản phẩm quảng cáo nào của Kim Soo Hyun nữa. Hoàn toàn vô liêm sỉ... Coi thường và kiêu ngạo với tất cả người tiêu dùng và người xem. Quá xảo quyệt.
"
28,이게 얼마나 동기부여가 잔인한 일이냐 김수현?,"Đây đúng là một hành động tàn nhẫn để thúc đẩy động lực, Kim Soo Hyun nhỉ?
"
29,사람이 죽었다,"Một người đã chết.
"
30,또 한사람 죽일작정입니까? 적당히하세요. 둘다 잘한거없어요~,"Lại định giết thêm một người nữa hả? Vừa vừa thôi. Cả hai đều chẳng tốt đẹp gì đâu~
"
31,"여기서 불평하는 사람들은 모두 당시 고인을 미워했던 사람들이라고 확신합니다. 위선자들!! 또한 지금까지 그들은 그녀의 친척들이 있는 곳에서 그녀의 삶에 도움을 주지 않은 이른바 이모 때문에 그녀의 이름을 &quot;깨끗하게&quot; 하려고 합니까? 그녀가 필요할 때, 그녀는 친구들이 있는 곳으로 갔습니다. 그녀가 살아있을 때, 그들은 그녀를 ATM으로만 사용했고, 그녀의 기억에서 계속 이익을 얻고 싶어합니다.","Tôi chắc chắn rằng tất cả những người phàn nàn ở đây đều là những người ghét người đã khuất khi còn sống. Những kẻ đạo đức giả!! Đến tận bây giờ, họ vẫn cố gắng ""làm trong sạch"" tên tuổi của cô ấy vì cái gọi là người dì, người đã không giúp đỡ gì cho cuộc đời cô ấy khi cô ấy còn ở cùng người thân? Khi cô ấy cần, cô ấy đã tìm đến bạn bè. Khi cô ấy còn sống, họ chỉ coi cô ấy như một cái máy ATM và bây giờ họ vẫn muốn lợi dụng ký ức về cô ấy.
"
32,이선균때도 요런 영상 올린거 남아잇네요,"Còn sót lại cả video kiểu này được đăng lên hồi vụ Lee Sun-kyun nữa này.
"
33,진짜 가세연이 국민의 힘 의원분들보다 더 나랏일을 많이 하시는 것 같습니다. <br>어려운일에도 나서 주셔서 감사합니다. <br>조금이나마 후원합니다.<br>그리고 궁금한것이 각하를 하면 민주당쪽에서 다시 탄핵을 걸고 넘어지지 않을까요?<br>오히려 기각을 하면 또다시 탄핵을 할 명분이 없어질것 같은데 제 개인적인 생각입니다.,"Thật sự thì Gaseyeon làm việc cho đất nước nhiều hơn cả các nghị sĩ của đảng Sức mạnh Quốc dân.
Cảm ơn vì đã đứng ra làm những việc khó khăn.
Tôi xin được ủng hộ chút ít.
Và tôi có một thắc mắc là nếu gọi là ""각하"" (bệ hạ) thì liệu phe Dân chủ có vịn vào đó để luận tội lần nữa không?
Tôi nghĩ rằng nếu bác bỏ thì sẽ không còn lý do gì để luận tội nữa, đó là suy nghĩ cá nhân của tôi.
"
34,방금 동영상 뜬건 봤냐? 결혼이라니.. 에효.. 이래도 죽음이 김수현때문이냐? 이거 알고있었을텐데..왜 이건 얘기안하냐? 엥간히합시다,"Mọi người xem video vừa mới lên chưa? Kết hôn cơ đấy... Haizz... Đến nước này rồi mà vẫn đổ tại Kim Soo Hyun gây ra cái chết à? Chắc chắn là biết chuyện này rồi nhưng sao không nói ra? Vừa phải thôi đi.
"
35,김새론님 음주운전 하게됐을때<br>회사에서 아침까지 술접대 사실이 있었다고 들었습니다.. 사실여부 확인바랍니다.. <br>팬들이 진실을 알아야 오해가 풀릴테니까요..,"Tôi nghe nói là khi Kim Sae Ron lái xe trong tình trạng say xỉn, có việc công ty tiếp đãi rượu đến tận sáng. Xin hãy xác nhận tính xác thực của việc này. Fan cần biết sự thật để giải tỏa hiểu lầm.
"
36,김세론이 명예회복되길  간절히 바랍니다<br>너무도 아까운 새론이<br>마음이 아프다,"Tôi tha thiết mong Kim Sae Ron sẽ được phục hồi danh dự.
Thật tiếc cho Sae Ron quá.
Thật đau lòng.
"
37,"STOP 🫷 KOREA, YA BASTA DE DIFAMAR Y DIFUNDIR RUMORES PARA DESTRUIR IMAGENES, KIM SOO HYUN NO ES EL PRIMERO, VAN MUCHOS DESVIVIDOS POR LA PRESION AMARILLISTA, STOP 🫷 STOP 🫷","DỪNG LẠI 🫷 HÀN QUỐC, ĐỦ RỒI ĐẤY, ĐỪNG VU KHỐNG VÀ TUNG TIN ĐỒN ĐỂ PHÁ HOẠI HÌNH TƯỢNG NỮA, KIM SOO HYUN KHÔNG PHẢI LÀ NGƯỜI ĐẦU TIÊN ĐÂU, CÓ NHIỀU NGƯỜI ĐÃ PHẢI CHẾT VÌ ÁP LỰC CỦA BÁO CHÍ GIẬT GÂN RỒI, DỪNG LẠI 🫷 DỪNG LẠI 🫷
"
38,김새론 재산 누가 다 없앴나?김수현이?,"Ai đã tiêu hết tài sản của Kim Sae Ron vậy? Kim Soo Hyun à?
"
39,자살시켰네!,"Tự sát à!
"
40,가로세로 또한건 잡았구만<br>ㅋㅋ<br>애세끼들 하는짓거리하곤 얼마나 삥뜯을려고,"Lại tóm được một vụ ngang dọc nữa rồi.
ㅋㅋㅋ
Đúng là lũ trẻ trâu, định moi được bao nhiêu tiền đây.
"
41,Saya mengikuti berita ini..saya berasal dari INDONESIA 🇮🇩,"Tôi theo dõi tin này...tôi đến từ INDONESIA 🇮🇩
"
42,"Kami Indonesia juga terkenal netizen paling julid di dunia, tetapi kami tidak seperti netizen korea yang mendorong orang hingga meninggal. Kami di Indonesia sebagai netizen juga sebagai mata untuk menunjukkan benar salahnya sebuah kasus dan ikut berpartisipasi menemukan kesalahan dan pembenaran hingga benar kasus itu benar terjadi. Andai itu benar terjadi kami tidak pernah mendorong hingga seseorang bunuh diri, lihat berapa artis kami keluar masuk penjara, setelah kasus selesai kami tutup mulut. Kami sungguh merasa kasihan melihat artis muda disana terlalu tertekan secara mental dan fisik hingga dibunuh secara halus oleh warga korea itu sendiri, bukankah artis atau idola juga warga korea itu sendiri? Seharusnya sebagai masyarakat dewasa, warga korea seharusnya bijak, artis dan para politik itu sama, ada yang dijebak dan ada yang menjebak. Di korea didirikan pusat perlindungan untuk artis dan idola, tapi dimana mereka ketika artis dan idola itu frustasi? Baru setelah artis dan idola meninggal mereka baru muncul, apa gunanya? Sungguh malang Kim Sae Ron.. ini juga membuktikan bahwa Saeron orang yang tertutup dan sangat bertanggung jawab sehingga tidak ingin berbagi masalah dengan keluarga karena takut keluarga bingung dan merasa bersalah.","Chúng tôi, người Indonesia, cũng nổi tiếng là những cư dân mạng ""sân si"" nhất trên thế giới, nhưng chúng tôi không giống như cư dân mạng Hàn Quốc đẩy người ta đến chỗ chết. Chúng tôi ở Indonesia, với tư cách là cư dân mạng, cũng là đôi mắt để chỉ ra đúng sai của một vụ việc và tham gia tìm kiếm sai sót và biện minh cho đến khi vụ việc đó thực sự xảy ra. Giả sử điều đó thực sự xảy ra, chúng tôi không bao giờ đẩy ai đến chỗ tự tử, hãy xem có bao nhiêu nghệ sĩ của chúng tôi ra vào tù, sau khi vụ việc kết thúc, chúng tôi im lặng. Chúng tôi thực sự cảm thấy thương xót khi thấy các nghệ sĩ trẻ ở đó bị áp lực quá lớn về tinh thần và thể chất đến mức bị chính người dân Hàn Quốc giết chết một cách tinh vi, chẳng phải nghệ sĩ hay thần tượng cũng là người Hàn Quốc sao? Đáng lẽ với tư cách là một xã hội trưởng thành, người dân Hàn Quốc nên sáng suốt, nghệ sĩ và chính trị gia cũng giống nhau, có người bị gài bẫy và có người gài bẫy. Ở Hàn Quốc, trung tâm bảo vệ nghệ sĩ và thần tượng được thành lập, nhưng họ ở đâu khi nghệ sĩ và thần tượng thất vọng? Chỉ sau khi nghệ sĩ và thần tượng qua đời họ mới xuất hiện, vậy thì có ích gì? Thật bất hạnh cho Kim Sae Ron.. điều này cũng chứng minh rằng Saeron là một người khép kín và rất có trách nhiệm nên không muốn chia sẻ vấn đề với gia đình vì sợ gia đình bối rối và cảm thấy có lỗi.
"
43,니 대가리에 총구를 들이밀어도 계엄에 찬성하나?,"Kể cả khi súng kề vào đầu mày, mày vẫn ủng hộ thiết quân luật à?
"
44,좌빨이 뭡니까?,"""Tả khuynh là gì?""
"
45,개소리가 뭡니까?,"""Chó sủa cái gì vậy?""
"
46,가세연 똘아이들 같어.ㅋㅋㅋㅋ<br>남 후벼파서 돈 받는것들,"Mấy thằng GaSeYeon đúng là lũ điên.ㅋㅋㅋㅋ<br>Chuyên moi móc chuyện của người khác để kiếm tiền.
"
47,그래서 김수현도 잘못되길 바래서 다들 그러는거??앵간히 해라,"Vậy là mọi người đều muốn Kim Soo-hyun cũng thất bại nên mới làm vậy hả?? Vừa vừa thôi đi.
"
48,나도 내가 가로세로 응원힐줄이야,"Đến tôi còn không ngờ mình lại đi cổ vũ cho Garo Sero.
"
49,어서 일어나세요 김수현오빠..❤❤열심히 하셔야 이 폭풍우를 반드시 이겨낼 수 있습니다. 우리는 항상 지원합니다. 일어나서 나타나야하며 정신이 맑은 마음을 가져야합니다. 지금 발생하는 문제는 과거의 일입니다. 나는 당신이 이것을 극복할 수 있다고 확신합니다. ❤❤ 🐾 🎈 ❤❤,"Dậy đi anh Kim Soo Hyun ơi..❤❤ Anh phải làm việc thật chăm chỉ thì mới có thể vượt qua được cơn bão này. Chúng em luôn ủng hộ anh. Anh phải đứng lên và xuất hiện thật tươi tỉnh nhé. Vấn đề xảy ra bây giờ chỉ là chuyện quá khứ thôi. Em tin anh có thể vượt qua được. ❤❤
"
50,"Es increíble cómo esta triste noticia ha llegado a todo el mundo, ya no queremos más pedófilos en el mundo","Thật không thể tin được làm sao tin buồn này lại lan đến khắp thế giới, chúng ta không muốn thấy thêm bất kỳ kẻ ấu dâm nào trên thế giới nữa.
"
51,윤석열  탄핵   없으면   이건 나라가 아니다,"Nếu không có luận tội Yoon Suk-yeol, thì đây không phải là đất nước.
"
52,김세론씨. 문제를 바르게 다루어줘서 고맙네요,"Cảm ơn vì đã xử lý vấn đề đúng cách, Kim Se-ron.
"
53,Không có gì bàn cãi nữa viện này chắc chắn là viện tâm thần r 🗿,"Không còn gì để nói, cái nơi này chắc chắn là trại tâm thần rồi 🗿
"
54,能不能加个中英字幕？😂真的看不懂呀,"Có thể thêm phụ đề Trung-Anh không? 😂 Thật sự không hiểu gì cả.
"
55,그렇다면 25일 조세호도 자리에 참석 한 걸 보면 제일 빨리 손절 한 것도 아니네요.. 같이 술 먹고 놀았는데 그게 손절 한거랑 말이 다르잖아요..,"Vậy thì xem ra Jo Se Ho cũng tham gia vào ngày 25, không phải là người đoạn tuyệt nhanh nhất nhỉ... Cùng nhau uống rượu, vui chơi mà bảo là đoạn tuyệt thì lời nói khác mà...
"
56,"Seorang wanita yang berjuang dari kecil di hancurkan oleh agensi gold, Kim Soohyun, netizen, youtuber Lee Jun hoo, kejamnya mereka terhadap manusia","Một người phụ nữ đã phải vật lộn từ khi còn nhỏ bị hủy hoại bởi công ty vàng, Kim Soohyun, cư dân mạng, youtuber Lee Jun hoo, thật tàn nhẫn khi họ đối xử với con người.
"
57,The same people who attacked her on social media carry her blood now,"Chính những người đã công kích cô ấy trên mạng xã hội giờ đây lại mang dòng máu của cô ấy.
"
58,"이게 기자야??  전문성이 너무 달린다. 우왕좌왕 좌충우돌 언급하는 사람 모두를 갈라치기,주장에 논리도 없고 5세 같은 흑백논리, 원수가 너무 많네. 국힘에서도 공천 탈락할 만 해. 요즘 중딩들 수준도 이 보단 높다. 죽은사람 그만 팔아라 새론이한테 미안하지도 앓냐!","Đây là nhà báo á?? Tính chuyên nghiệp quá kém. Cứ lúng túng, đâm đầu lung tung, chia rẽ tất cả những người được nhắc đến, luận điểm thì không có logic, tư duy đen trắng như đứa trẻ 5 tuổi, quá nhiều kẻ thù. Cũng đáng bị loại khỏi đề cử của Quốc dân chi lực. Đến học sinh cấp 2 bây giờ trình độ còn cao hơn. Đừng lôi người chết ra mãi thế nữa, không thấy có lỗi với Saeron à!
"
59,"남여가 사귀다가 헤어지는건데....다반사이지만, 헌신짝처럼 버렸다는게 말이 되나?","Chuyện nam nữ yêu nhau rồi chia tay... là chuyện thường tình, nhưng nói là vứt bỏ như đôi dép rách thì có chấp nhận được không?
"
60,STOP BULLYING,DỪNG BẮT NẠT
61,죽은 새론이 팔아서 정치질하는 방송이네!! 구역질난다  새론이 내용 언제 나오니!!,"Đồ chương trình bẩn thỉu đem chuyện của Sae Ron đã chết ra để thao túng chính trị!! Ghê tởm. Chuyện của Sae Ron khi nào mới ra đây!!
"
62,김수현 개저씨 어이없네,"Kim Soo Hyun đúng là ông chú ngớ ngẩn thật.
"
63,A guy who lives for tomorrow is dead meat when he faces a guy who lives for today.,"Một gã sống cho ngày mai sẽ là miếng mồi ngon khi đối đầu với một gã sống cho ngày hôm nay.
"
64,U suck garosero fighting ksh,"Mày tệ lắm Garosero, cố lên Ksh.
"
65,Wtf,"Cái đ** gì vậy
"
66,Can&#39;t believe how these ppl destroy lives of actor hope they sue them,"Không thể tin được những người này hủy hoại cuộc sống của diễn viên như thế nào, hy vọng họ kiện bọn chúng.
"
67,😮,"😮
"
68,인성은 개쉬키네~~매장시켜라~!!,"Thằng chó nhân cách rác rưởi~~ Chôn sống nó đi!!!
"
69,죽음을~~댓가를 치룰거다~!!,"Mày sẽ phải trả giá bằng cái chết~!!
"
70,Porquería de sociedad coreana que se creen perfectos por eso cantidad de suicidios,"Xã hội Hàn Quốc thối nát, chúng nghĩ mình hoàn hảo nên mới có nhiều vụ tự tử đến vậy.
"
71,Pero si los padres sabían hace rato porque no lo denunciaron,"Nhưng nếu bố mẹ biết từ lâu rồi, sao không tố cáo đi?
"
72,7억으로 빵터짐~ 인생좃됐어 ㅋ ㅋ 7억  7억 7억 ㅋ ㅋ ㅋ 바보,"700 triệu làm tôi bật cười. Cuộc đời tiêu rồi haha. 700 triệu 700 triệu 700 triệu hahaha. Đồ ngốc.
"
