ID,Comment Text,Token Count,Label
147,Đã đính chính vô hóng cái kênh lên bài thiếu sự thật để bú fame xem giờ lên bài như thế này ai dè vẫn còn víu cho được đúng chịu cái kênh trước xem cập nhật tin tức khc thấy khá oke nm đến tin tức này,51,Không ủng hộ
148,"bà này lên bài cập nhật được cái là bả chỉ cập nhật những gì bả muốn cập nhật thôi, toàn cập nhật nữa chừng không thèm cập nhật thêm thông tin khác",35,Trung lập
149,"Ý là công ty đòi nợ từ năm 2024, suốt 1 năm qua không hề triệu tập toà án mà cũng không kiện cáo gì nhưng tới 2025 mới tự sát mà vẫn là ""ép vào đường cùng, không cho con đường sống"" á hả?",53,Trung lập
150,"nó soi được phết nhỉ thì tiền nong phải minh bạch em ơi.Vay thì phải trả không trả được thì ăn cái biên bản mà biên bản đó là biên bản thông báo thôi nợ công ty cho vào nợ xấu rồi thì thủ tục cần thiết thôi.Còn vụ quen trước 15 tuổi thì không rõ nhưng ảnh có meta data là 2019-2020 ,nói chung bố này chỉ thua khi cm được là yêu trước 2016",82,Trung lập
151,"Bài đăng này cách 22h mà tao tưởng đăng bài từ 3 ngày trước không á, đã là người đưa thông tin cho cdm thì nên đưa khách quan trung lập để có cái nhìn 9 xác",40,Trung lập
152,tại sao lại chia tay vậy mọi người biết không,10,Trung lập
153,"Tao thấy hông sai gì luôn á, hóng phốt bằng kiến thức lý trí chứ không phải theo cảm xúc số đông nha mấy má",26,Trung lập
154,Tội cho cô bé ấy,5,Không ủng hộ
155,"đã dữ ta , drama Hàn Quốc đúng là miếng dưa lớn , cắn miếng nào là miếng đó ngọt ngay :",22,Không liên quan
156,"Vụ nợ kiện tụng thì đó là chuyện của công ty. Nhưng hình như nhiều đứa không nhìn nhận vấn đề là thằng này là gần 30, quen một đứa vị thành niên. Tụi mày không Thaays vấn đề hả trời?????",53,Không ủng hộ
157,Tôi không nói đến tình yêu Kim soo hyun va Kim sae ron … tôi không phải Fans cả hai. Tôi chỉ là người xem phim … nhưng tình nghĩa xây dựng công ty của Kim soo hyun là có 1 phần Kim sae ron. Liệu Kim soo hyun có nghĩ đó là sự có sẵn và miễn phi,64,Trung lập
158,"Mă ơi, quan trọng là luật HQ trước 2020 thì tuổi vị thành niên là 13 tuổi. Sau 2020 mới nâng lên 16 tuổi. Hãy tập trung vào chuyện này đi. Mấy người phốt Anh,Anh không được là chuyển qua Bạn, Bạn không được cái nói C",57,Không ủng hộ
159,cái vụ n cngx chỉ là để che giấu mày vụ chính trị của hàn vì làm ngdaan bx th,25,Không liên quan
160,Riết rồi tao thấy chia tay rồi là bắt phải có hiếu với người yêu cũ vậy?Một số thành phần chỉ trích Kim soo hyun cho tao hỏi tụi bây chia tay cho người yêu cũ mượn được bao nhiu tiền thế hay xóa kb rồi chặn tứ phương là giỏi1,61,Ủng hộ
161,"Nói thiệt chứ tao chia tay người yêu cũ gần năm rồi nè, giờ mà ổng nhắn tin hay đăng ảnh tao với ổng lên tao còn tế cho ấy với cả theo ykr của tao thì không đi đám tang người yêu cũ là bình thường ấy. có gửi vòng hoa với phong bì là",61,Không liên quan
162,bà nọi này nằm vùng rốp rẻn vậy,11,Không liên quan
163,Lẹ mới được,4,Trung lập
164,"bớt má , má là trưởng anti hả núp dưới gầm giường hả trời",14,Không ủng hộ
165,"gửi giấy nợ từ 2023 nhưng mà đến đầu 2025 nó cũng đã kiện đâu mà bảo nó ép, dồn con bé tới đường cùng. chả qua do con pé nó mất rồi nợ đẩy hết cho gia đình con pé nên nhà này như muốn quỵt nên làm trò",55,Không ủng hộ
166,"bên điều tra thì từ đầu chị Kim Sae Ron bị đột 4 do tim ngừng đập chư không phải tự sát , gia đình của Kim Sae Ron không cho khám nghiệm tử thi, cái chuyện bên khám nghiệm xác nhận bả đột 4 thì nó trước cái drama rồi nên khỏi bảo tao bênh như vậy thì từ đầu Kim Soo Hyun không sai",69,Ủng hộ
167,Viện garo sero : Kim soo hyun hãy nhận mình yêu Kim sae ron lúc 15 tuổi đi vì chúng tôi không có bằng chứng : . chúng tôi sẽ không đăng thời gian chụp lên vì thời gian chụp toàn từ 2019 = cái phốt xàm nhất từng thấy,54,Không ủng hộ
168,"tất cả là do cái viện truyền thông bẩn kia, chỉ vì muốn câu view mà nó ép bao nhiêu người tự sát rồi, giờ còn muốn hại Kim So Hyun nữa, toàn đưa tin sai không có chứng cứ chính xác để cáo buộc người khác. Trước cái viện truyền thông này cũng đưa sai thông tin rồi để dắt mũi dư luận và bị lên án rồi. Thật sự mọi người nên sáng suốt để chọn lựa thông tin, tránh để các trang mạng đưa thông tin bẩn dắt mũi dư luận. Bao nhiêu bên báo vì câu view mà không màng đạo đức truyền thông sai để câu view rồi!",128,Ủng hộ
169,"Bà này thấy cố tình dìm Kim soo hyun chứ không muốn nghe từ 2 phía, rõ là có nhiều thông tin vậy mà. Còn khoảng nợ lum la hết chơn mà không kể",38,Không ủng hộ
170,"đặt Hoàn Cảnh Sau Này Bồ Mấy Bây Có Người yêu cũ nợ 700 triệu sau đó Đám Tang nhỏ đó Vào Ngày Sinh nhật Bồ Mấy Bây rồi Mấy Bây có Cho Bồ mấy Bây xoá Nợ Cho nhỏ đó Không,Điều hướng dư Luận Ác Thật,Người yêu cũ quan trọng quá ha",63,Không ủng hộ
171,"bà này không tìm hiểu kĩ mà cứ nói như đr,chỉ trích Kim Soo Hyun như đr",21,Không ủng hộ
172,"Nốt ruồi xoá tầm 1 năm là nó hiện lại tao từng xoá rồi , kính chỉ được đeo năm 2015 thoi hả",23,Không liên quan
173,"lên clip như điều hướng dư luận, nói nhiều cái như biết hết tất cả vậy á má nội ơi",22,Không ủng hộ
174,Nín họng đi má ơi,6,Không ủng hộ
175,dắt mũi vừa thôi má đứa nào muốn rõ thì đi tìm hiểu được cho đầy đủ đg có nghe cái kênh này,24,Không ủng hộ
176,"ê sao mà mạng xã hội soi hay dữ bay,có cái nốt ruồi mà soi cũng được tao stalk acc nhỏ tao ghét bà còn bị lộ",32,Không liên quan
177,gia đình chị ấy phải gọi là như rắn độc,10,Không ủng hộ
178,"nói thẳng ra vụ này ai cũng sai, tội là tội mỗi Kim Sae Ron, lúc còn sống thì ai cũng vùi dập bỏ rơi, tới khi chị bé mất rồi lại bị réo tên tiếp, không biết đến bao giờ chị bé mới được yên ổn",55,Không ủng hộ
179,"Đúng ý tao luôn, gia đình của Kim sae ron bốc sớm rồi đường nào cho con nta quay lại showbiz, động đến Kim soo hyun hạng Sao, ai tin Kim sae ron",43,Không ủng hộ
180,Mấy quả kênh truyền thông bẩn này xoá comment nhanh kinh khủng . Giật tít câu view dìm người khác xuống đường cùng vào chỗ chet thì không ai bằng,31,Ủng hộ
181,Vẫn còn nhưng kênh chày cối nhu nay chỉ trích Kim Soo Hyun cố chấp thật,16,Không ủng hộ
182,Cầu cho mấy má bênh thằng kia mù quáng thì gặp 1 thằng y chang cho tao,17,Không ủng hộ
183,"Gia đình Kim Sae Ron kêu là đòi lại công bằng cho con gái nhưng thực chất đổ oan cho Kim Soo Hyun để bào tiền.Tại lúc chị còn sống 1 thân 1 mình gánh vác cả cái gia đình đó,giờ chị mất rồi nên không có tiền mới lôi anh ra lấy sự thương hại để tống tiền.Lên hẳn báo chú để chỉ trích rồi dắt mũi dư luận theo phe mình nữa cơ .Sao lúc khó khăn không thấy gia đình đó đứng ra bênh Kim Sae Ron đi,người nhà mà không bằng người yêu cũ ít ra Kim Soo Hyun còn giúp đỡ cho Kim Sae Ron trong 2 năm.Còn về số tiền phải trả là đúng,từ khi nào việc đòi tiền người yêu cũ lại bị chỉ trích rồi doạ kiện ra toàn,đem luật sư ra làm gì,người giàu người ta vẫn cần tiền mà.Chủ tus anti Kim Soo Hyun chác luôn,toàn hùa theo rồi dìm Kim Soo Hyun xuống",193,Ủng hộ
184,tao mà không theo dõi sự việc kĩ càng chắc tao tin con mẹ này luôn á,17,Trung lập
185,Ê nha má xoá comment tao he,7,Không liên quan
186,chòng tao oan rồi cò gì tung hết ra,10,Ủng hộ
187,Nói đùa chứ mấy năm sau hem chuyện lại bị khui lên mà không phải vậy hem lại bắt đầu thương cảm này nọ bớt toxic lại cái gì đáng thù mình bênh cái gì không đáng mình kệ,41,Trung lập
188,Cái nết giống y cái ft vậy đó nói như bình thường hết vtr,15,Không liên quan
189,ê bà này nói ndr,6,Không liên quan
190,"Hình như bà này mới xoá video đk, sáng vừa thấy 13 giờ trước đăng, giờ là bay mất tiêu rồi, đg định vào chỉ trích đăng cái ảnh không mặc quần",40,Không ủng hộ
191,"bà phân tích như bà hiểu hết vậy?! tìm hiểu còn không biết chọn lọc, dắt mũi dư luận như dắt bò á trời, cái kênh đó còn ủng hộ lính đánh thuê Mỹ đi đánh Việt Nam mà cũng hùa theo tin",51,Không ủng hộ
192,"còn vấn đề Kim Soo Hyun chưa được sáng tỏ là có qhtd trong lúc quen nhau không cái đấy mới đáng trách.Còn mấy cái còn lại thấy bình thường vì yêu 6 năm và cho vay 12 tỉ 3 năm không lãi suất thì đấy là real love .Còn về việc không đến đám ma thì thật sự chia tay gần như buông bỏ nhau rồi huống chi lúc đó chia tay được 4 năm rồi...Pháp lý đòi tiền bên công ty làm đúng anh/c nào làm ngân hàng ,cục thuế là bình thường ...Còn việc cap mh thì chỉ xác nhận là anh gửi công ty về rõ chuyện tiền nong còn leak pv là bên t3.",136,Trung lập
193,Tao thấy mày nên nín mỏ lại,7,Không ủng hộ
194,"Là 1 người có học thức các bạn trẻ hóng Drama nên tìm hiểu kĩ trước khi nói 1 vấn đề đừng hùa theo, chửi ai đó để không để mấy bọn câu view câu like nó dắt như dắt thế này Nhục Lắm Các Bạn Ạ",50,Trung lập
195,"dần dần tao cảm thấy Kim soo hyun cũng không sai, trước tiên là không sai về mặt pháp lý. mượn tiền thì phải trả chứ. dù ổng giàu thật nhưng tiền ổng làm ra công sức của ổng mà. người yêu cũ bây mượn tiền mà tận 700 triệu bây có gào lên không",60,Ủng hộ
196,"gia đình bé đó không tốt lành gì đâu mà noi Kim Soo Hyun , gia đình bé muôn tung tin lây xiền",24,Ủng hộ
197,Dấu đầu lòi đuôi,4,Không ủng hộ
198,dám lên tiếng ảnh bẻ cái rụp luôn chứ ở hên nay có vụ chính trị nên tin được đôn lên thôi chứ dễ gì hồi đó mà dữ được như dị,33,Không ủng hộ
199,má nói hây ghê,5,Không liên quan
200,Chet rồi cũng không yên nữa:,9,Không liên quan
201,sa hang hê dô chỗ nào vậy chị 7? hùa là giỏi,14,Không liên quan
202,"Thứ tao thắc mắc là cái nút ruồi đó , bảo yêu năm 2019 mà xoá nút ruồi từ 2017",21,Trung lập
203,Kênh jack toàn bú,4,Không liên quan
204,Sự trong sạch là đây sao,6,Không ủng hộ
205,soi tới cả nốt ruồi,5,Không liên quan
206,chj xem ảnh không mặc quần của ãnh trên live viện Garosero chưa,16,Không liên quan
207,Tao nghi ông này được bên chính trị cử lên bài để lấp liếm đi vụ 8 quả bỉm,19,Không liên quan
208,Phản biện,3,Trung lập
209,tao nói thật cái sốp này i chang thời sự vị đó muốn bic là quá sốp bả liền,21,Không liên quan
210,nốt ruồi mọc lại á.,6,Không liên quan
