ID,Token Count,Comment Text,Label
73,10,"Liệu anh tôi có vào được hội Theliem không?
",Không liên quan
74,12,"Hóng kết quả hơn cả mấy con đề chờ xổ số nữa.
",Trung lập
75,8,Tôi cũng luôn tin tưởng anh.,Ủng hộ
76,5,"Chắc thắng chứ còn gì.
",Ủng hộ
77,3,"Luôn ghi nhớ.
",Không liên quan
78,6,ủa tôi tưởng lật kèo rồi,Trung lập
79,4,"Không quay được.
",Không liên quan
80,22,"Ôi trời ơi, là ổng không làm sai gì ạ, tôi tối cổ quá chưa cập nhật tin tức.
",Trung lập
81,15,"Chỉ là nếu thôi, chắc gì đã thắng, làm sao mà ngờ được chữ ngờ.
",Trung lập
82,6,"Ra đời em nể mỗi anh.
",Ủng hộ
83,19,"Không thắng về mặt pháp luật hình ảnh thì không thắng được đâu, nhãn hàng chỉ quan tâm đến hình ảnh thôi.
",Không ủng hộ
84,3,"Em tin anh.
",Ủng hộ
85,6,"Hóng drama riết hết hiểu.
",Trung lập
86,26,"Hợp đồng lên tới nghìn tỷ mà có mấy đứa kêu hủy hợp đồng đi thì chắc nó nghĩ có vài nghìn bạc lẻ.
",Trung lập
87,4,"kimsoohyun
",Không liên quan
88,64,"Tại Instagram của ảnh ít hoạt động nên ít vào, mong hãy hoạt động bình thường lại đi để biết làm gì. Sao hạng Anh ít live thế, cứ live bình thường mà nhờ vậy mới biết bạn như thế nào. Mong vững vàng trong sự nghiệp kế tiếp, mong chặng này bạn sẽ đầy đủ chân thiện mỹ mới thành công nha.
",Trung lập
89,14,"Chỉ cần một chút vết nhơ trong sự nghiệp là lọc được đám fan hùa.
",Không ủng hộ
90,10,"Netflix coi phim từ 25 nha.
",Không liên quan
91,4,"Thôi nghỉ hưu sớm.
",Không ủng hộ
92,10,"người cầm quyền khôi phục uy quyền à?
",Trung lập
93,6,"Wow [Ảnh]
",Không liên quan
94,26,"Dù gì thì gì, đám tang của người yêu cũ mà không đến thì hơi bạc tình. Dù gì cũng là người từng thương.
",Không ủng hộ
95,28,"Anh Kim Paris thiết nghĩ nên chuyển sang hoạt động tại VN. Chứ bên Hàn, bên Trung họ thông minh quá. Có dân Việt mình…
",Ủng hộ
96,20,"Fan càng đông càng ủng hộ thì may ra chứ giờ có tai tiếng cũng khó hào nhoáng như xưa.
",Không ủng hộ
97,47,"HQ thiếu diễn viên à mà phải cãi nhau bênh nó đúng hay sai? Thêm nữa cuộc sống không chỉ có đúng sai, mà còn có đạo lý, tình người. Người thiệt nhất vẫn là người đã khuất...
",Trung lập
98,55,"Họ sợ hãi vì chúng ta ủng hộ Kim Soo Hyun, họ đe dọa và lăng mạ chúng ta để khiến chúng ta từ bỏ. Câu trả lời của tôi là đừng lãng phí thời gian. !!
",Ủng hộ
99,88,"Cố lên anh. Vững vàng vượt qua đại nạn này rồi anh sẽ tỏa sáng trở lại. Sóng gió, bão dông đến thì phải gồng lên mà gánh thôi. Không làm khác được. Tiền mất kiếm lại. Danh dự thì mình chỉ cần những ai tin và hiểu thôi. Còn bọn ngoài kia không cần để ý, chúng nó chỉ tin vào những gì chúng nó muốn tin, chứ không bao giờ tin vào những gì nhìn thấy đâu.
",Ủng hộ
100,9,"Bọn fan cuồng đang tẩy trắng cho bố nó.
",Không ủng hộ
101,22,"Mình còn vài quyển album phim Nữ Hoàng Nước Mắt của anh Kim Soo Hyun, bạn nào cần thì nhắn tin cho mình nhé.
",Không liên quan
102,28,"Vậy còn vụ chụp màn hình tin nhắn gửi Dispatch và gửi số điện thoại gia đình Kim Sae Ron cho phóng viên thì sao ạ?
",Không ủng hộ
103,11,"ĐCM anh tui không làm fan thất vọng, yêu anh!
",Ủng hộ
104,15,"Liêm trong vô liêm sỉ hả. Lo học hành đi mấy bé ơi.
",Không liên quan
105,24,"Ủa tại sao lại vô liêm sỉ vậy ạ? Chị chỉ ra được cái sai của ổng đi, em theo chị liền.
",Trung lập
106,48,"Gia đình, Dispatch, các nhãn hàng Hàn, fan Hàn, KJW (Kim Jae-joong) xách đít chạy vội. Chỉ có fan Việt là một lòng một dạ với anh Th (Thái), mà anh có thích VN (Việt Nam) đâu, kkk.
",Không ủng hộ
107,53,"Thắc mắc là nếu Kim Soo Hyun không quen vị thành niên, sao không kiện nhà Kim Sae Ron tội vu khống nhỉ. Vì nhà Kim Sae Ron không kiện vì không có tiền và theo luật thì 13 tuổi được phép quen rồi.
",Trung lập
108,25,"Bọn Hàn nó dắt mũi giống vụ Trung Mèo Béo, tung tin đó ra để chuyển hướng dư luận vụ thả bom nhầm bên nó thôi.
",Không liên quan
109,4,"Buồn cười vãi chưởng.
",Không liên quan
110,36,"Vứt bỏ con của chồng. Bị chồng đăng ảnh công khai lên mạng nhưng lại tự tử vì người yêu cũ chia tay được mấy năm rồi. Logic của gia đình này đáng sợ thật.
",Không liên quan
111,25,"Sau vụ này mới biết ổng toàn fan rác với hùa, động tí drama là thấy quay lưng với ổng thì hiểu rồi.
",Không ủng hộ
112,35,"Tôi chỉ thấy buồn cười cái cách người Hàn dùng chuyện giải trí để che đậy việc quân đội Hàn ném dân chủ vào khu dân cư, dân thường, à còn cả drone với trực thăng nữa.
",Không liên quan
113,6,"Lọc được một đống fan hùa.
",Không ủng hộ
114,4,"Không có gì.
",Không liên quan
115,12,"Chưa kết thúc đâu các bà, viện kia chuẩn bị thả.
",Trung lập
116,40,"Bữa có một tài khoản của con bé nào chửi tao vì tao không hiểu thằng cha này sai cái gì, tao cũng im không cãi... giờ kiếm tài khoản con khắm đó không thấy đâu.
",Trung lập
117,21,"Dính cái drama nhảm nhí này mà anh tôi bị mất chuỗi 15 năm sự nghiệp, đời tư trong sạch.
",Ủng hộ
118,9,"Lọc được một số fan a dua cũng được.
",Không ủng hộ
119,13,"Xin ông nói lảm nhảm cho viện Trung ương Phân tâm học chấn động.
",Không liên quan
120,8,Bỏ yêu tào lao đi nhé anh,Không ủng hộ
121,66,"Mong các anh sau này không yêu phải cô gái có gia đình mục nát như vậy. Còn các bác ở Việt Nam cứ bắt người ta phải chịu có lỗi mới chịu trong khi nói chuyện người ta không cấm. Ở Việt Nam chửa đẻ đầy rồi đấy. Mà làm như mọi người không yêu ở tuổi đó bây giờ.
",Ủng hộ
122,30,"Làm video POV nhưng tao cảm nhận đây là fan của ổng và có vẻ đang bất lực lắm đây, nên hơi mù quáng và ảo tưởng nhé =",Không ủng hộ
123,10,"Cả VTV nữa, hài ẻ luôn.
",Không liên quan
124,9,"Công lý cho Kim Sae Ron
",Không ủng hộ
125,71,"Tôi không bênh vực Kim Soo Hyun ở đây, nhưng khi anh ta hẹn hò với Kim Sae Ron khi cô ấy còn là trẻ vị thành niên, tại sao bố mẹ CÔ ẤY không can thiệp vào mối quan hệ, trong khi anh TA Kim Soo Hyun và bố mẹ CÔ ẤY, bố mẹ Sae Ron, đều biết rằng điều đó là sai trái?
",Trung lập
126,15,"Công lý cho Kim Sae Ron, tôi hy vọng sự thật sẽ được phơi bày.
",Không ủng hộ
127,10,"Vậy là giờ anh ta là Drake phiên bản Hàn Quốc mới à.
",Không ủng hộ
128,65,"Ok, thật kỳ lạ khi anh ta hẹn hò với một cô gái vị thành niên, nhưng chúng ta phải nhớ một điều: trong mối quan hệ này, Kim Sae-ron cũng là một người tham gia tự nguyện. Rốt cuộc, đây không phải là một mối quan hệ cưỡng ép.
",Trung lập
129,43,"Anh ta là người trưởng thành còn cô ấy là trẻ con, và anh ta lại nổi tiếng nữa, như kiểu cái bẫy ấy. Anh ta dễ dàng thao túng cô ấy. Không nghĩ được à??
",Không ủng hộ
130,11,"Tao xin lỗi nhưng 15 tuổi là đủ lớn rồi.
",Không ủng hộ
131,71,"Mấy người ghét Kim Sae Ron khi cô ấy đăng bức ảnh đó, và giờ khi cô ấy không còn nữa, mấy người lại ghét cả anh kia. Ngay cả khi đó là sự thật thì mọi người cũng không nên hủy hoại cuộc đời anh ấy như những gì mọi người đã làm với Kim Sae Ron, thật kỳ lạ.
",Không ủng hộ
132,15,"Đến đám tang của cô ấy mà hắn cũng không thèm đến.
",Không ủng hộ
133,52,"Soohyun à, dù có chuyện gì xảy ra đi chăng nữa, em vẫn luôn ở bên cạnh anh. Em sẽ ủng hộ anh mãi mãi. Em tin anh. Em biết anh là một người tốt. Em biết rằng có những người đang cố gắng hãm hại anh.
",Ủng hộ
134,6,"Con gái?????
",Không liên quan
135,20,"Khoảng cách 12 tuổi thì ổn thôi, nhưng không phải khi có trẻ VỊ THÀNH NIÊN trong đó.
",Không ủng hộ
136,64,"Ý tôi là, việc họ hẹn hò thì đúng là tệ thật, nhưng rồi lại đổ lỗi cho người đàn ông về cái chết của cô ấy mà không có bằng chứng, trong khi không lâu trước đó mọi người lại bảo cô ấy tự kết liễu đời mình vì đau khổ các thứ do scandal trước đây của cô ấy.
",Trung lập
137,18,"Chuyện đó chưa được chứng minh, đừng tin vào những lời đồn.
",Trung lập
138,48,"Thì sao nếu họ hẹn hò? Nếu họ yêu nhau và đừng có tỏ vẻ như các người biết hết mọi chuyện, bởi vì anh ta KHÔNG cưỡng hiếp cô ấy, họ HẸN HÒ.
",Ủng hộ
139,6,"Bạn làm tôi thấy mình thông minh hơn.
",Không liên quan
140,43,"Mấy người lúc nào cũng đổ lỗi cho gã kia, nhưng còn cô gái thì sao? Tại sao cô ta lại hẹn hò với một người 27 tuổi? Đó cũng LÀ lựa chọn và quyết định của CÔ TA mà.
",Không ủng hộ
141,63,"Vì anh ta ""viện Garoseromed"" cô ấy à? Bạn KHÔNG hiểu nghĩa của từ đó sao?? Anh ta nắm quyền lực trên đầu cô ấy. Anh ta ở bên cô ấy từ khi cô ấy còn LÀ MỘT ĐỨA TRẺ. Đương nhiên là chúng ta sẽ đổ lỗi cho anh ta rồi??
",Không ủng hộ
142,68,"Vấn đề là cô ấy đã làm sai và cô ấy muốn chịu trách nhiệm cho việc đó. CÔ ẤY KHÔNG HỀ TRỐN CHẠY. Cô ấy đã làm những công việc bán thời gian để trả nợ cho công ty quản lý của mình và những gì Kim Soo Hyun đã làm là đẩy cô ấy lún sâu hơn vào vực thẳm.
",Không ủng hộ
143,62,"Sao mọi người vẫn còn ghét bỏ cô ấy ngay cả sau khi cô ấy qua đời vậy. Thật đau lòng. Anh ta là người trưởng thành, anh ta phải biết điều gì tốt hơn chứ. Cô ấy chỉ là một đứa trẻ. Mong cô ấy yên nghỉ.
",Không ủng hộ
144,46,"Trời ạ, cô ấy có cha mẹ mà, đáng lẽ ở tuổi đó cô ấy phải trưởng thành rồi chứ, cô ấy đâu phải là một bé gái 9 tuổi.
",Không ủng hộ
145,14,"Cô ấy 15 tuổi, nghĩa là một đứa trẻ.
",Không ủng hộ
146,11,"Nó được gọi là tuổi tác không thành vấn đề.
",Không liên quan
147,17,"Khi nói đến việc hẹn hò với trẻ vị thành niên, điều đó là sai trái.
",Không ủng hộ
148,27,"Có lẽ đây là thông tin sai lệch. Chúng ta cần chờ xác nhận chính thức.
",Trung lập
149,47,"Trời ạ, ảnh họ hôn má và gần như là hôn môi tràn lan khắp nơi rồi kìa. Làm ơn tìm đi. Và hôm nay Dispatch đã xác nhận mối quan hệ của họ rồi đó.
",Không ủng hộ
150,20,"Mấy người nổi tiếng Hàn Quốc này đang sống cuộc đời như phim драмы của họ vậy.
",Không liên quan
151,52,"Tôi không bênh vực anh ta, nhưng cô ấy 15 còn anh ta 27, họ hẹn hò 6 năm, bố mẹ cô ấy biết mọi chuyện. Tại sao họ không làm gì đó?...
",Trung lập
152,16,"Tại sao một gã 27 tuổi lại muốn hẹn hò với một cô bé 15 tuổi ngay từ đầu chứ.
",Không ủng hộ
153,24,Soo Hyun vô tội!!! Tại sao các người lại cố gắng hủy hoại sự nghiệp của anh ấy vậy làm ơn đi mà,Ủng hộ
154,4,Bạn thân ơi,Không liên quan
155,67,"Tôi không quan tâm đến anh ta, nhưng tại sao lại chỉ đổ lỗi cho một mình anh ta? Thứ nhất, bố mẹ và dì của cô bé ở đâu khi cô bé hẹn hò với anh ta? Họ biết chuyện, vậy tại sao đến giờ mới nói? Thứ hai, 15 tuổi vẫn đủ lớn để chịu trách nhiệm, trong khi mọi người",Trung lập
156,85,"Anh bạn à, chuyện đó có quan trọng đâu, họ yêu nhau cũng được chứ sao. Cô ấy còn chọn hẹn hò với anh ta nữa kìa, để yên người ta đi. Chênh lệch tuổi tác không quan trọng, mấy người làm quá lên thôi. Đó là lựa chọn của họ, chứ không phải của mấy người.
",Ủng hộ
157,27,"Hãy nhớ rằng đây đều là những cáo buộc mà người dì đưa ra, nó vẫn chưa phải là thông tin chính thức.
",Trung lập
158,12,Chị ơi có ảnh anh ta hôn cô ta kìa,Không ủng hộ
159,64,"Rồi mọi người cũng sẽ đối xử với anh ta như với người yêu cũ thôi, tôi không bênh ai cả nhưng cả hai đều sai khi hẹn hò và yêu nhau, rõ ràng là do tuổi tác. Cả hai nên chịu trách nhiệm cho hành động của mình.
",Trung lập
160,44,"Trẻ vị thành niên không đủ khôn ngoan để đưa ra quyết định, đó là lỗi của người lớn. Thêm nữa, tại sao bạn lại muốn đổ lỗi cho cô ấy, cô ấy không còn ở đây nữa....
",Không ủng hộ
161,54,"Đó vẫn chỉ là những cáo buộc, chưa có bằng chứng nào cho những gì đã được nói cả. Mọi người thực sự không rút ra được bài học nào từ vụ việc trong quá khứ à?",Trung lập
162,70,"Sandara hẹn hò với một học sinh cấp hai khi đã trưởng thành, nhưng sự nghiệp của cô ấy vẫn hoàn toàn ổn. Tại sao chỉ có Kim Soo-hyun bị hủy bỏ? Đây rõ ràng là một tiêu chuẩn kép. Nếu bạn định hủy bỏ ai đó, hãy hủy bỏ cả hai.
",Ủng hộ
163,70,"Tôi chỉ muốn nói điều này, nếu cô ấy hẹn hò với anh ta và cô ấy 15 tuổi, tại sao cô ấy không rời bỏ anh ta nếu cô ấy biết anh ta lớn tuổi hơn và tại sao chúng ta không chờ đợi vì đây cũng có thể là một lời buộc tội sai sự thật??
",Trung lập
164,32,"Tại sao bạn lại đổ lỗi cho anh Minor? Chắc chắn anh ta biết việc hẹn hò với trẻ vị thành niên là sai trái nhưng vẫn làm vậy.
",Không ủng hộ
165,65,"Thật kỳ lạ khi anh ta cho cô ấy vay tiền không tính phí, rồi lại quay sang kiện cô ấy. Sau đó, cô ấy cầu xin anh ta và hứa sẽ trả lại tiền khi cô ấy được thuê vào các dự án, nhưng anh ta không chịu buông tha.
",Không ủng hộ
166,8,Chúng tôi yêu bạn Kim Soo Hyun,Ủng hộ
167,6,"""Chúng ta"" là ai??
",Không liên quan
168,71,"Những người nói rằng ""nhưng anh ta không ép cô ấy"", trẻ vị thành niên không đủ trưởng thành để đưa ra các quyết định có trách nhiệm, vì phần lớn hành vi của chúng bị thúc đẩy bởi sự bốc đồng. Nếu một bé gái hoặc bé trai tuổi teen phát triển +
",Không ủng hộ
169,16,"Tôi không thể tin được là đã có ngày tôi ngưỡng mộ hắn.
",Không ủng hộ
170,17,"Mọi người quá ghen tị với anh ấy nên đã tạo ra những tin đồn giả về anh ấy.
",Ủng hộ
171,65,"Lẽ ra cô ấy nên tự nhận thức được việc mình đang hẹn hò với một người lớn tuổi hơn và ông ấy không liên quan gì đến cái chết của cô ấy, vì vậy các bạn nên ngừng đổ lỗi cho ông ấy về cái chết của cô ấy và sống cuộc đời của mình đi.
",Ủng hộ
172,64,"Bản thân cô gái đã muốn có mối quan hệ với anh ta. Tại sao mọi người lại nói như thể anh ta ép cô yêu anh ta vậy? Nếu cô gái có ý thức thì đã không nói chuyện với anh ta rồi. Đây không phải là lỗi của anh ta.
",Ủng hộ
173,54,"Cô gái mới 15 tuổi, ở độ tuổi đó người ta có thể đưa ra những quyết định tồi tệ. Anh ta 27 tuổi, anh ta biết chính xác mình đang làm gì và biết điều đó là sai trái nhưng anh ta vẫn LỢI DỤNG cô bé.
",Không ủng hộ
174,5,"Drake đó hả?
",Không liên quan
175,20,"Tôi phát hiện ra việc Kim Soo Hyun có nguy cơ bị hủy bỏ sự nghiệp không nằm trong lá phiếu bingo năm 2025 của tôi.
",Trung lập
176,44,"Sao mọi người lại bàn tán về Kim Sae Ron khi cô ấy không còn nữa, trong khi lúc cô ấy còn sống và đối mặt với sự trầm cảm này, không ai đứng ra bênh vực cô ấy... điều đó thật đáng buồn.
",Không ủng hộ
177,48,"Cô ấy hoàn toàn có thể từ chối vì tuổi tác của mình, cô ấy cũng đủ hiểu biết để làm vậy... Sẽ không có mối quan hệ nào cả, mọi chuyện đã không đi đến nước này.
",Không ủng hộ
178,13,"Hãy nhớ rằng trẻ vị thành niên có thể bị dụ dỗ.
",Trung lập
179,26,"Chúng ta không biết gì về những gì đang xảy ra ngoài đời thực cả. Đây chỉ là tin đồn thôi.
",Trung lập
180,23,"Vào thời điểm đó, việc anh ấy không đến dự đám tang của cô ấy thật đáng ngạc nhiên.
",Không ủng hộ
181,77,"Sao họ lại đợi đến khi cô ấy qua đời??? Điều đó khiến tôi nghi ngờ... Tôi chưa bao giờ quan tâm đến diễn viên đó. Tôi biết anh ta diễn giỏi. Nhưng điều đó vẫn khiến tôi bực mình, có lẽ gia đình muốn tiền.
",Trung lập
182,41,"Điên thật đấy, sao mà vẫn có người bênh vực hắn ta sau ngần đấy ảnh được tung ra, chỉ vì thấy hắn ta đẹp trai với lại thích phim hắn đóng.",Không ủng hộ
183,7,"Xã hội Hàn Quốc thật nguy hiểm.
",Không liên quan
184,41,"Bro!! Tại sao gia đình cô ấy không chấm dứt mối quan hệ này!! Hãy ngừng chỉ trích Soo Hyun và để linh hồn cô gái được yên nghỉ!!
",Ủng hộ
185,58,"Về mặt tiền bạc: cô ấy nợ công ty của anh ta 473.000 đô la. Số dư này đến hạn vào ngày 31 tháng 12 năm 2023. Công ty của anh ta đã không gửi thư đòi nợ cho cô ấy cho đến tháng 3 năm 2024.
",Trung lập
186,4,"Điều này không đúng.
",Trung lập
187,64,"Tôi thấy tiếc cho Kim Sae Ron và tôi cũng là fan của Kim Soo Hyun. Chúng ta không thể chỉ nói rằng Kim Soo Hyun sai trong chuyện này. Họ đã ở bên nhau 6 năm. Chúng ta không thể chỉ đổ lỗi cho một bên.
",Trung lập
188,25,"đó không phải là thông tin chính thức, chỉ là tin đồn thôi nhưng tôi hy vọng điều đó không phải là thật",Trung lập
189,65,"Hiện có rất nhiều bằng chứng cho thấy anh ta không hoàn toàn vô tội. Các cuộc phỏng vấn, bài đăng và các cáo buộc khác trong quá khứ kinh tởm của anh ta đã bị đội PR xóa bỏ đang xuất hiện trở lại.
",Không ủng hộ
190,60,"Tôi không hề ghét Saeron, tôi chỉ không thực sự tin gã kia, nhưng ý tôi là chẳng phải cô ấy cũng hẹn hò với hắn ta sao? Và trong bức ảnh, dáng vẻ cô ấy đầy đặn hơn, trông cô ấy có khó chịu đâu, ý tôi là cô ấy biết rõ mà.
",Không ủng hộ
191,71,"Vấn đề là cô ấy mới 15... rất dễ để lợi dụng một người 15 tuổi hơn là một người 27 tuổi. Nếu cô ấy muốn rời đi hoặc gì đó, anh ta đã có thể bịt miệng cô ấy bằng tiền. Chúng ta không biết mọi chuyện đã xảy ra sau màn ảnh, nhưng anh ta là-
",Không ủng hộ
192,55,"Vậy tôi muốn làm rõ một điều, có phải anh ta là người gây ra cái chết của cô ấy hay là những người đã ngăn cản cô ấy trở lại, quấy rối và khiến cô ấy uất ức đến chết??
",Trung lập
193,77,"Vấn đề là họ đã ở bên nhau 6 năm rồi. Mọi người cứ đổ lỗi cho Kim Soo Hyun mà không phải bố mẹ hay dì của cô ấy, những người bây giờ mới lên tiếng khi cô ấy đã mất, nhưng lại không thể tách cô ấy khỏi Kim Soo Hyun trong những năm đó.
",Không ủng hộ
194,27,"Tại sao mọi người lại ghét Kim Soo Hyun khi sự thật còn chưa được tiết lộ?
",Trung lập
195,20,"Anh ta bị xử ép rồi, làm ơn xem xét đi. Có đầy bằng chứng đấy.
",Ủng hộ
196,8,"Tuổi tác chỉ là con số thôi!!!
",Không liên quan
197,8,thật sự là quá kinh tởm,Không ủng hộ
198,10,"Cô ấy không hề 15 tuổi, mọi người thôi đi.
",Không ủng hộ
199,9,"Đã phát hiện dkrider.
",Không liên quan
200,61,"Họ nghe thấy điều gì đó rồi lan truyền nó đi mà không muốn nghe toàn bộ câu chuyện... nếu họ thực sự hẹn hò thì cũng không sao, nhưng việc ngồi đây và nói rằng anh ta đã làm cái này cái kia rồi cố gắng đào bới thêm bằng cách tìm kiếm thông tin là không nên.
",Ủng hộ
201,5,"Điều này thật đáng lo ngại.
",Trung lập
